driverName,team,driverGroup,driverStatus,joinTime,raceBan,qualiBan
LinuS Sebastian,Red Bull Racing,A2,2ed driver,2021/1/15,0,0
littleredhat,Haas,A1,1st driver,2021/1/15,0,0
Livistar,Ferrari,A2,1st driver,2021/1/15,0,0
LOStSCX,Reserve,A2,reserved driver,2021/1/15,0,0
LoveLIver37,Reserve,A2,reserved driver,2021/1/15,0,0
Lucaspo,Reserve,A2,reserved driver,2021/1/15,0,0
LugoBox,Reserve,A2,reserved driver,2021/1/15,0,0
MadKing Amor,Reserve,A1,reserved driver,2021/1/15,0,0
markisco,Reserve,A2,reserved driver,2021/1/15,0,0
MARU.C7Y,Reserve,A2,reserved driver,2021/1/15,0,0
Mastvalk,Testing,A3,testing driver,2021/1/15,0,0
Meat_GC,Reserve,A2,reserved driver,2021/1/15,0,0
Meat_Lu,Reserve,A2,reserved driver,2021/1/15,0,0
Meow,Ferrari,A1,2ed driver,2021/1/15,0,0
Mercedes 4orever,McLaren,A2,1st driver,2021/1/15,0,0
NG,Reserve,A1,reserved driver,2021/1/15,0,0
Noth Amor,Alpha Tauri,A1,1st driver,2021/1/15,0,0
NPUSmlz,Reserve,A2,reserved driver,2021/1/15,0,0
o2Jam-LucKy,Reserve,A2,reserved driver,2021/1/15,0,0
ohmhong,McLaren,A2,2ed driver,2021/1/15,0,0
Owen Li,Mercedes AMG,A1,2ed driver,2021/1/15,0,0
PanNi,Testing,A3,testing driver,2021/1/15,0,0
PaySd,Williams,A1,3rd driver,2021/1/15,0,0
Peter17,Testing,A3,testing driver,2021/1/15,0,0
qszx44,Williams,A2,1st driver,2021/1/15,0,0
Quick Nick,Renault,A1,3rd driver,2021/1/15,0,0
Reol,Alfa Romeo,A1,2ed driver,2021/1/15,0,0
RiceCake,Renault,A1,1st driver,2021/1/15,0,0
Rory Amor,Alpha Tauri,A1,3rd driver,2021/1/15,0,0
Rory Amor,Alpha Tauri,A2,2ed driver,2021/1/15,0,0
Script,Reserve,A1,reserved driver,2021/1/15,0,0
SESDAVET,Testing,A3,testing driver,2021/1/15,0,0
shadowferrari,Red Bull Racing,A1,1st driver,2021/1/15,0,0
shotsbaldwin,Williams,A1,2ed driver,2021/1/15,0,0
SilenceSuzuka61,Testing,A3,testing driver,2021/1/15,0,0
small£¬smllH,Reserve,A2,reserved driver,2021/1/15,0,1
Snowflake,Failed,A3,testing fail,2021/1/15,0,0
SouLCause,Reserve,A2,reserved driver,2021/1/15,0,0
spinnnnnia,Reserve,A2,reserved driver,2021/1/15,0,0
Sponge,Testing,A3,testing driver,2021/1/15,0,0
STL,Reserve,A1,reserved driver,2021/1/15,0,0
syrson,Reserve,A2,reserved driver,2021/1/15,3,0
TeamCorvette,Renault,A2,1st driver,2021/1/15,0,0
TeFuir,Reserve,A1,reserved driver,2021/1/15,0,0
tick372,Reserve,A1,reserved driver,2021/1/15,0,0
TIGEROMG,Reserve,A2,reserved driver,2021/1/15,0,0
Ti-x dor,Racing Point,A1,2ed driver,2021/1/15,0,0
TJaySpin,Testing,A3,testing driver,2021/1/15,0,0
TOMFANG,Reserve,A2,reserved driver,2021/1/15,0,0
ttt,Reserve,A2,reserved driver,2021/1/15,0,0
Twoliges,Testing,A3,testing driver,2021/1/15,0,0
TXG,Reserve,A2,reserved driver,2021/1/15,0,0
UltrasBoy,Reserve,A2,reserved driver,2021/1/15,0,0
Wack.Y,Testing,A3,testing driver,2021/1/15,0,0
whiteGX5,Racing Point,A1,3rd driver,2021/1/15,0,0
wofa,Reserve,A1,reserved driver,2021/1/15,0,0
WUHUQIFEI,Red Bull Racing,A2,1st driver,2021/1/15,0,0
XD_Fantaman,Reserve,A2,reserved driver,2021/1/15,0,0
YG_MMM,Reserve,A2,reserved driver,2021/1/15,0,0
YIN,Reserve,A2,reserved driver,2021/1/15,0,0
ZghosT,Mercedes AMG,A1,3rd driver,2021/1/15,0,0
Mushi,Retired,A1,retired driver,2021/1/15,0,0
ruby,Retired,A1,retired driver,2021/1/15,0,0
HF13,Retired,A1,retired driver,2021/1/15,0,0
BlackBox,Retired,A2,retired driver,2021/1/15,0,0
Sugar Killer,Retired,A2,retired driver,2021/1/15,0,0
Leon,Retired,A2,retired driver,2021/1/15,0,0
Rxpcgz1123,Retired,A3,retired driver,2021/1/15,0,0
Monster Spin,Retired,A3,retired driver,2021/1/15,0,0
ARTIST,Team AFR2,A1,A2 driver,2021/1/15,0,0
Mercedes 4orever,Team AFR2,A1,A2 driver,2021/1/15,0,0
come papa here,Team AFR2,A1,A2 driver,2021/1/15,0,0
XD_Fantaman,Team AFR2,A1,A2 driver,2021/1/15,0,0
LugoBox,Team AFR2,A1,A2 driver,2021/1/15,0,0
WUHUQIFEI,Team AFR2,A1,A2 driver,2021/1/15,0,0
